bundle,type,count,error
scenario/scenario_battle000_019.unity3d,ParticleSystemRenderer,23,
scenario/scenario_battle000_019.unity3d,Material,20,
scenario/scenario_battle000_019.unity3d,MeshRenderer,19,
scenario/scenario_battle000_019.unity3d,MeshFilter,19,
scenario/scenario_battle000_019.unity3d,CanvasRenderer,15,
scenario/scenario_battle000_019.unity3d,SpriteRenderer,9,
scenario/scenario_battle000_019.unity3d,PlayableDirector,8,
scenario/scenario_battle000_019.unity3d,AnimatorController,4,
scenario/scenario_battle000_019.unity3d,Sprite,4,
scenario/scenario_battle000_019.unity3d,CanvasGroup,3,
scenario/scenario_battle000_019.unity3d,TextAsset,2,
scenario/scenario_battle000_019.unity3d,Camera,2,
scenario/scenario_battle000_019.unity3d,BoxCollider,2,
scenario/scenario_battle000_019.unity3d,PreloadData,1,
scenario/scenario_battle000_019.unity3d,AssetBundle,1,
scenario/scenario_battle000_019.unity3d,Mesh,1,
scenario/scenario_battle000_019.unity3d,RenderSettings,1,
scenario/scenario_battle000_019.unity3d,CapsuleCollider,1,
scenario/scenario_battle000_019.unity3d,LightmapSettings,1,
scenario/scenario_battle000_019.unity3d,NavMeshSettings,1,
scenario/scenario_battle000_019.unity3d,Canvas,1,
scenario/scenario_battle000_019.unity3d,LightingSettings,1,
scenario/scenario_battle000_029.unity3d,MonoBehaviour,304,
scenario/scenario_battle000_029.unity3d,AnimationClip,224,
scenario/scenario_battle000_029.unity3d,GameObject,76,
scenario/scenario_battle000_029.unity3d,Transform,70,
scenario/scenario_battle000_029.unity3d,MonoScript,67,
scenario/scenario_battle000_029.unity3d,Animator,13,
scenario/scenario_battle000_029.unity3d,MeshRenderer,8,
scenario/scenario_battle000_029.unity3d,MeshFilter,8,
scenario/scenario_battle000_029.unity3d,SpriteRenderer,7,
scenario/scenario_battle000_029.unity3d,RectTransform,6,
scenario/scenario_battle000_029.unity3d,AnimatorController,4,
scenario/scenario_battle000_029.unity3d,PlayableDirector,4,
scenario/scenario_battle000_029.unity3d,Material,3,
scenario/scenario_battle000_029.unity3d,Camera,3,
scenario/scenario_battle000_029.unity3d,TextAsset,2,
scenario/scenario_battle000_029.unity3d,BoxCollider,2,
scenario/scenario_battle000_029.unity3d,CanvasRenderer,2,
scenario/scenario_battle000_029.unity3d,PreloadData,1,
scenario/scenario_battle000_029.unity3d,AssetBundle,1,
scenario/scenario_battle000_029.unity3d,Sprite,1,
scenario/scenario_battle000_029.unity3d,RenderSettings,1,
scenario/scenario_battle000_029.unity3d,LightmapSettings,1,
scenario/scenario_battle000_029.unity3d,NavMeshSettings,1,
scenario/scenario_battle000_029.unity3d,Canvas,1,
scenario/scenario_battle000_029.unity3d,LightingSettings,1,
scenario/scenario_battle002.unity3d,MonoBehaviour,1447,
scenario/scenario_battle002.unity3d,GameObject,1382,
scenario/scenario_battle002.unity3d,RectTransform,930,
scenario/scenario_battle002.unity3d,CanvasRenderer,717,
scenario/scenario_battle002.unity3d,AnimationClip,662,
scenario/scenario_battle002.unity3d,Transform,452,
scenario/scenario_battle002.unity3d,CanvasGroup,203,
scenario/scenario_battle002.unity3d,MeshRenderer,163,
scenario/scenario_battle002.unity3d,MeshFilter,163,
scenario/scenario_battle002.unity3d,BoxCollider,126,
scenario/scenario_battle002.unity3d,Animator,123,
scenario/scenario_battle002.unity3d,MonoScript,101,
scenario/scenario_battle002.unity3d,Sprite,100,
scenario/scenario_battle002.unity3d,Material,61,
scenario/scenario_battle002.unity3d,ParticleSystem,42,
scenario/scenario_battle002.unity3d,ParticleSystemRenderer,42,
scenario/scenario_battle002.unity3d,PlayableDirector,33,
scenario/scenario_battle002.unity3d,Animation,28,
scenario/scenario_battle002.unity3d,AnimatorController,24,
scenario/scenario_battle002.unity3d,SpriteRenderer,7,
scenario/scenario_battle002.unity3d,MeshCollider,5,
scenario/scenario_battle002.unity3d,Texture2D,4,
scenario/scenario_battle002.unity3d,Light,4,
scenario/scenario_battle002.unity3d,TextAsset,3,
scenario/scenario_battle002.unity3d,Camera,2,
scenario/scenario_battle002.unity3d,PreloadData,1,
